text,created_at,id_str
.@FoxNews is no longer the same. We miss the great Roger Ailes. You have more anti-Trump people by far than ever before. Looking for a new outlet! https://t.co/jXxsF0flUM,05-19-2020 01:59:49,1262563582086184970
So the so-called HHS Whistleblower was against HYDROXYCHLOROQUINE. Then why did he make and sign an emergency use authorization? @NorahODonnell said “He shared his concerns with a reporter.” In other words he LEAKED. A dumb @60Minutes hit job on a grandstanding Never Trumper!,05-18-2020 14:44:21,1262393595560067073
.....mixed about even wanting us to get out. They make a fortune $$$ by having us stay and except at the beginning we never really fought to win. We are more of a police force than the mighty military that we are especially now as rebuilt. No I am not acting impulsively!,05-18-2020 14:39:40,1262392415513690112
Wow! The Front Page @washingtonpost Headline reads “A BOOST IN TESTS BUT LACK OF TAKERS.” We have done a great job on Ventilators Testing and everything else. Were left little by Obama. Over 11 million tests and going up fast. More than all countries in the world combined.,05-18-2020 12:47:40,1262364231288197123
MAGA crowds are bigger than ever! https://t.co/zKxoTBw02v,05-18-2020 12:26:37,1262358931982123008
....spews lies. @60Minutes report was incorrect which they couldn’t care less about. Fake News! I don’t know this guy never met him but don’t like what I see. How can a creep like this show up to work tomorrow &amp; report to @SecAzar his boss after trashing him on T.V.?....,05-18-2020 02:15:09,1262205049624821761
.@60Minutes &amp; third place anchor @NorahODonnell are doing everything in their power to demean our Country much to the benefit of the Radical Left Democrats. Tonight they put on yet another Fake “Whistleblower” a disgruntled employee who supports Dems fabricates stories &amp;...,05-18-2020 02:15:08,1262205045359226880
Thank you very much to our beautiful “boaters.” I will never let you down! #MAGA https://t.co/BiqIqzgOcL,05-17-2020 14:15:53,1262024041797386240
.....are therefore given massive advantages over The United States and everyone else? Prior to the Plague floating in from China our Economy was blowing everybody away the best of any country EVER. We will be there again and soon!,05-16-2020 22:58:23,1261793147069366279
I’m not running against Sleepy Joe Biden. He is not even a factor. Never was remember 1% Joe? I’m running against the Radical Left Do Nothing Democrats &amp; their partner the real opposition party the Lamestream Fake News Media! They are vicious &amp; crazy but we will WIN! https://t.co/ltdHSmaMYT,05-16-2020 15:00:09,1261672792484917248
America is proud of Ron Johnson. He never gives up! https://t.co/tfWXWRuy8q,05-16-2020 14:41:17,1261668048018321410
We’ve done a GREAT job on Covid response making all Governors look good some fantastic (and that’s OK) but the Lamestream Media doesn’t want to go with that narrative and the Do Nothing Dems talking point is to say only bad about “Trump”. I made everybody look good but me!,05-16-2020 13:30:37,1261650261862383616
95% Approval Rating in Republican Party. 51% Plus overall. But you NEVER read or see this in the Fake News Media. Always hearing bad made up numbers on how badly I’m doing. Lamestream Media is unhinged and CORRUPT! https://t.co/ebrufe2ZEQ,05-16-2020 13:10:02,1261645083704729600
I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operations and to keep people moving in the NY/NJ area! The LARGEST single Federal transit grant to New Jersey Transit ever. Together we will prevail!,05-15-2020 14:29:56,1261302802296561668
Just landed in Pennsylvania see everyone soon! https://t.co/RUAfkv1cOs,05-14-2020 17:37:20,1260987576300625920
If I were a Senator or Congressman the first person I would call to testify about the biggest political crime and scandal in the history of the USA by FAR is former President Obama. He knew EVERYTHING. Do it @LindseyGrahamSC just do it. No more Mr. Nice Guy. No more talk!,05-14-2020 14:21:51,1260938381254701060
I don’t know the so-called Whistleblower Rick Bright never met him or even heard of him but to me he is a disgruntled employee not liked or respected by people I spoke to and who with his attitude should no longer be working for our government!,05-14-2020 12:37:51,1260912207027675136
Fake @PulitzerPrizes must be taken back. These “journalists” got everything wrong. Give them to the real journalists who got it right! https://t.co/at2oRBwdOS,05-13-2020 03:13:38,1260407831137828865
Remember this every Governor who has sky high approval on their handling of the Coronavirus and I am happy for them all could in no way have gotten those numbers or had that success without me and the Federal Governments help. From Ventilators to Testing we made it happen!,05-12-2020 11:56:26,1260177007490600960
So interesting to see all of these people I beat so badly pundits &amp; consultants that never had a chance telling me how to run for office. Many are Republicans who should LOVE our 280 new Judges rebuilt Military 2A great V.A. Low Taxes etc. Just don’t like that I beat them!,05-12-2020 11:45:01,1260174133935124481
A great time to have strong Borders and we now have the strongest Borders in our history. 182 miles of Border Wall already built! Dems want Open Borders let EVERYONE IN. No thanks! https://t.co/XdW55c0kKv,05-12-2020 10:27:41,1260154672268148736
Then we must be very careful. Crazy Nancy would be a total disaster and the USA will never be a Communist Country! https://t.co/r0tP5dxZ9h,05-12-2020 10:20:08,1260152775389962240
Coronavirus numbers are looking MUCH better going down almost everywhere. Big progress being made!,05-11-2020 13:56:57,1259844948960120833
.@CBS and their show @60Minutes are doing everything within their power which is far less today than it was in the past to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!,05-10-2020 23:25:53,1259625738858303490
Mike has my complete &amp; total endorsement. We need him badly in Washington. A great fighter pilot &amp; hero &amp; a brilliant Annapolis grad Mike will never let you down. Mail in ballots &amp; check that they are counted! https://t.co/KMS62yCyfl,05-09-2020 15:52:49,1259149331761954822
